X1,X2,X3,X4,X5,X6,Y2
0.86,588,294,147,7,5,27.4
0.82,612.5,318.5,147,7,2,28.68
0.82,612.5,318.5,147,7,3,27.54
0.82,612.5,318.5,147,7,4,25.35
0.82,612.5,318.5,147,7,5,24.93
0.79,637,343,147,7,2,43.12
0.79,637,343,147,7,3,41.22
0.79,637,343,147,7,4,35.1
0.79,637,343,147,7,5,34.29
0.76,661.5,416.5,122.5,7,2,33.85
0.76,661.5,416.5,122.5,7,3,34.11
0.76,661.5,416.5,122.5,7,4,34.48
0.76,661.5,416.5,122.5,7,5,34.5
0.74,686,245,220.5,3.5,2,13.6
0.74,686,245,220.5,3.5,3,13.36
0.74,686,245,220.5,3.5,4,13.65
0.74,686,245,220.5,3.5,5,13.49
0.71,710.5,269.5,220.5,3.5,2,14.14
0.71,710.5,269.5,220.5,3.5,3,13.77
0.71,710.5,269.5,220.5,3.5,4,14.3
0.71,710.5,269.5,220.5,3.5,5,13.87
0.69,735,294,220.5,3.5,2,14.44
0.69,735,294,220.5,3.5,3,14.27
0.69,735,294,220.5,3.5,4,14.67
0.69,735,294,220.5,3.5,5,14.4
0.66,759.5,318.5,220.5,3.5,2,13.46
0.66,759.5,318.5,220.5,3.5,3,13.7
0.66,759.5,318.5,220.5,3.5,4,13.59
0.66,759.5,318.5,220.5,3.5,5,13.83
0.64,784,343,220.5,3.5,2,19.14
0.64,784,343,220.5,3.5,3,19.18
0.64,784,343,220.5,3.5,4,19.37
0.64,784,343,220.5,3.5,5,19.29
0.62,808.5,367.5,220.5,3.5,2,14.09
0.62,808.5,367.5,220.5,3.5,3,14.23
0.62,808.5,367.5,220.5,3.5,4,14.14
0.62,808.5,367.5,220.5,3.5,5,13.89
0.98,514.5,294,110.25,7,2,25.91
0.98,514.5,294,110.25,7,3,25.72
0.98,514.5,294,110.25,7,4,26.18
0.98,514.5,294,110.25,7,5,25.87
0.9,563.5,318.5,122.5,7,2,29.34
0.9,563.5,318.5,122.5,7,3,33.91
0.9,563.5,318.5,122.5,7,4,32.83
0.9,563.5,318.5,122.5,7,5,29.92
0.86,588,294,147,7,2,27.17
0.86,588,294,147,7,3,31.76
0.86,588,294,147,7,4,31.06
0.86,588,294,147,7,5,25.81
0.82,612.5,318.5,147,7,2,24.61
