fueltype,aspiration,doornumber,carbody,drivewheel,carlength,price
1,0,0,3,1,186.6,15510
1,1,1,2,1,186.6,18150
1,1,0,3,1,186.6,18620
1,0,1,2,1,156.9,5118
1,0,1,2,1,157.9,7053
1,0,1,2,0,157.3,7603
1,0,0,3,1,172,7126
1,0,0,3,1,172,7775
1,0,0,3,1,172,9960
1,0,0,3,0,172,9233
1,1,0,3,0,172,11259
1,0,0,4,1,173.5,7463
1,0,0,4,1,173.5,10198
1,0,0,4,0,173.6,8013
1,1,0,4,0,173.6,11694
1,0,1,2,1,158.7,5348
1,0,1,2,1,158.7,6338
1,0,0,2,1,158.7,6488
1,0,0,4,1,169.7,6918
1,0,0,4,0,169.7,7898
1,0,0,4,0,169.7,8778
1,0,0,3,1,166.3,6938
1,0,0,2,1,166.3,7198
0,0,0,3,1,166.3,7898
0,0,0,2,1,166.3,7788
1,0,0,3,1,166.3,7738
1,0,0,2,1,166.3,8358
1,0,0,3,1,166.3,9258
1,0,1,3,2,168.7,8058
1,0,1,2,2,168.7,8238
1,0,1,3,2,168.7,9298
1,0,1,2,2,168.7,9538
1,0,1,1,2,176.2,8449
1,0,1,1,2,176.2,9639
1,0,1,2,2,176.2,9989
1,0,1,1,2,176.2,11199
1,0,1,2,2,176.2,11549
1,0,1,0,2,176.2,17669
1,0,0,3,1,175.6,8948
0,1,0,3,1,175.6,10698
1,0,0,2,1,175.6,9988
1,0,0,3,1,175.6,10898
1,0,0,2,1,175.6,11248
1,0,1,2,2,183.5,16558
1,0,1,2,2,183.5,15998
1,0,0,3,2,187.8,15690
1,0,0,4,2,187.8,15750
0,0,1,3,1,171.7,7775
1,0,1,3,1,171.7,7975
0,0,0,3,1,171.7,7995
1,0,0,3,1,171.7,8195
1,0,0,3,1,171.7,8495
0,1,0,3,1,171.7,9495
1,0,0,3,1,171.7,9995
1,0,1,0,1,159.3,11595
1,0,1,2,1,165.7,9980
1,0,0,3,1,180.2,13295
0,1,0,3,1,180.2,13845
1,0,0,4,1,183.1,12290
1,0,0,3,2,188.8,12940
1,0,0,4,2,188.8,13415
1,0,0,3,2,188.8,15985
1,0,0,4,2,188.8,16515
1,1,0,3,2,188.8,18420
1,1,0,4,2,188.8,18950
1,0,0,3,2,188.8,16845
1,1,0,3,2,188.8,19045
1,0,0,3,2,188.8,21485
0,1,0,3,2,188.8,22470
1,1,0,3,2,188.8,22625
